time,open,high,low,close,volume
2016-01-11 00:00:00-05:00,98.97,99.06,97.34,98.53,42721303
2016-01-12 00:00:00-05:00,100.55,100.69,98.8399,99.96,41812613
2016-01-13 00:00:00-05:00,100.32,101.19,97.3,97.41,55622868
2016-01-14 00:00:00-05:00,97.96,100.48,95.74,99.51,54777253
2016-01-15 00:00:00-05:00,96.2,97.71,95.36,97.09,62629182
2016-01-19 00:00:00-05:00,98.41,98.65,95.5,96.68,43391493
2016-01-20 00:00:00-05:00,95.1,98.1897,93.42,96.81,62817353
2016-01-21 00:00:00-05:00,97.06,97.88,94.94,96.26,42936023
2016-01-22 00:00:00-05:00,98.63,101.46,98.37,101.42,57509112
2016-01-25 00:00:00-05:00,101.52,101.53,99.21,99.466,41677693
2016-01-26 00:00:00-05:00,99.93,100.88,98.07,99.98,55376442
2016-01-27 00:00:00-05:00,96.04,96.6289,93.34,93.43,118812625
2016-01-28 00:00:00-05:00,93.79,94.52,92.39,94.08,49345543
2016-01-29 00:00:00-05:00,94.52,97.22,94.35,97.14,51178982
2016-02-01 00:00:00-05:00,96.47,96.71,95.4,96.38,34645138
2016-02-02 00:00:00-05:00,95.42,96.04,94.28,94.48,31366472
2016-02-03 00:00:00-05:00,95.0,96.84,94.08,96.34,39060035
2016-02-04 00:00:00-05:00,95.86,97.33,95.19,96.6,34453043
2016-02-05 00:00:00-05:00,96.52,96.92,93.69,94.01,39757840
2016-02-08 00:00:00-05:00,93.15,95.7,93.04,95.01,46800568
2016-02-09 00:00:00-05:00,94.29,95.94,93.93,95.02,38799205
2016-02-10 00:00:00-05:00,95.92,96.35,94.1,94.27,37234874
2016-02-11 00:00:00-05:00,93.79,94.72,92.59,93.66,42738614
2016-02-12 00:00:00-05:00,94.19,94.5,93.01,93.99,34389620
2016-02-16 00:00:00-05:00,94.96,96.85,94.61,96.62,41327019
2016-02-17 00:00:00-05:00,96.67,98.21,96.15,98.11,38114308
2016-02-18 00:00:00-05:00,98.84,98.89,96.091,96.26,30537184
2016-02-19 00:00:00-05:00,96.0,96.7599,95.8,96.03,28058950
2016-02-22 00:00:00-05:00,96.31,96.9,95.92,96.87,29953526
2016-02-23 00:00:00-05:00,96.4,96.5,94.55,94.69,25918605
2016-02-24 00:00:00-05:00,93.98,96.38,93.32,96.1,31035570
2016-02-25 00:00:00-05:00,96.05,96.76,95.25,96.76,23190207
2016-02-26 00:00:00-05:00,97.2,98.0237,96.58,96.91,25138647
